Form	Lemma	POS	Gloss
ær	ǣr	adv	before
asecgan,	asecgan	inf	tell
astige	āstīgan	pres.1sg	rise up
bærne,	byrnan	pres.1sg	burn
beamas	bēam	ap	trees
bearwas	bearwe	ap	groves
bere.	beran	pres.1sg	bear
bið	bēon	pres.3sg	is
bledhwate,	blēdhwæt	apm	bold
eorþan,	eorþe	ds	earth
fere	faran	pres.1sg	travel
flæsc	flǣsc	as	flesh
folcsalo	folcsalo	ap	halls
foldan,	folde	as	earth
foldbuendra,	foldbuend	gp	earth-dwellers
fylle,	fyllan	pres.1sg	fell
gæstas,	gāst	ap	spirits
gehrefed,	gehrefan	pp	stirred
geond	geond	prep	throughout
hadas	had	ap	forms
hæbbe	habban	pres.1sg	have
hæleþa	hæleþ	gp	of men
haswe	hasu	npm	grey
hatte,	hātan	pres.1sg.pass	am called
heahum	hēah	dp	high
hlæst	hlæst	ap	burdens
Hlin	hlīn	ns	noise
holme	holm	ds	sea
horsc	horsc	nsm	wise
hrere,	hrēran	pres.1sg	stir
hrofum.	hrōf	dp	roofs
hrycge	hrycg	ds	back
hu	hū	adv.interr	how
hwa	hwā	pron.interr	who
hwa	hwā	pron.interr	who
Hwylc	hwylc	pron.interr	which
hygecræftig	hygecræftig	nsm	clever-minded
ic	ic	ns.pers	I
ic	ic	ns.pers	I
ic	ic	ns.pers	I
is	bēon	pres.3sg	is
mæge	magan	pres.subj.3sg	may
me	ic	ds.pers	me
meahtum	meaht	dp	powers
mec	ic	as.pers	me
mec	ic	as.pers	me
ofer	ofer	prep	over
on	on	prep	on
on	on	prep	on
on	on	prep	on
on	on	prep	on
on	on	prep	on
ond	ond	conj	and
ond	ond	conj	and
oþþe	oþþe	conj	or
ræced	reced	ap	buildings
reafige?	rēafian	pres.1sg	plunder
Recas	rēc	np	smoke
reþe,	hrēoh	nsm	fierce
Saga	secgan	imp.2sg	say
sended;	sendan	pp	sent
sið	sīþ	as	journey
somod	somod	adv	together
stigað,	stīgan	pres.3pl	rises
strong,	strang	nsm	strong
stundum	stund	dp	at times
sunde.	sund	ds	sea
wælcwealm	wælcwealm	ns	slaughter
waþe,	wāþ	as	journey
wera,	wer	gp	of men
wide	wīde	adv	widely
wræce	wrecan	pres.1sg	wreak
wræce,	wrecan	pres.subj.3sg	drives
wreah	wrēon	pret.3sg	covered
wrecen	wrecan	pp	driven
wudu	wudu	as	wood
þa	sē	ap.dem	the
þæs	sē	dp.dem	so
þæs	sē	dp.dem	so
þæt	þæt	conj	that
þæt	þæt	as.dem	that
þæt	þæt	as.rel	that which
þe	þū	ns.rel	who
þecce,	þeccan	pres.subj.3sg	covers
þonne	þonne	adv	when
þonne	þonne	adv	when
þragum	þrāg	dp	at times
þrymful	þrymful	nsm	mighty
þunie,	þunian	pres.1sg	thunder
