Form	Lemma	POS	Gloss	Line
Hwylc	hwylc	pron.interr	which	1
is	bēon	pres.3sg	is	1
hæleþa	hæleþ	gp	of men	1
þæs	sē	dp.dem	so	1
horsc	horsc	nsm	wise	1
ond	ond	conj	and	1
þæs	sē	dp.dem	so	1
hygecræftig	hygecræftig	nsm	clever-minded	1
þæt	þæt	conj	that	2
þæt	þæt	as.dem	that	2
mæge	magan	pres.subj.3sg	may	2
asecgan,	asecgan	inf	tell	2
hwa	hwā	pron.interr	who	2
mec	ic	as.pers	me	2
on	on	prep	on	2
sið	sīþ	as	journey	2
wræce,	wrecan	pres.subj.3sg	drives	2
þonne	þonne	adv	when	3
ic	ic	ns.pers	I	3
astige	āstīgan	pres.1sg	rise up	3
strong,	strang	nsm	strong	3
stundum	stund	dp	at times	3
reþe,	hrēoh	nsm	fierce	3
þrymful	þrymful	nsm	mighty	4
þunie,	þunian	pres.1sg	thunder	4
þragum	þrāg	dp	at times	4
wræce	wrecan	pres.1sg	wreak	4
fere	faran	pres.1sg	travel	5
geond	geond	prep	throughout	5
foldan,	folde	as	earth	5
folcsalo	folcsalo	ap	halls	5
bærne,	byrnan	pres.1sg	burn	5
ræced	reced	ap	buildings	6
reafige?	rēafian	pres.1sg	plunder	6
Recas	rēc	np	smoke	6
stigað,	stīgan	pres.3pl	rises	6
haswe	hasu	npm	grey	7
ofer	ofer	prep	over	7
hrofum.	hrōf	dp	roofs	7
Hlin	hlīn	ns	noise	7
bið	bēon	pres.3sg	is	7
on	on	prep	on	7
eorþan,	eorþe	ds	earth	7
wælcwealm	wælcwealm	ns	slaughter	8
wera,	wer	gp	of men	8
þonne	þonne	adv	when	8
ic	ic	ns.pers	I	8
wudu	wudu	as	wood	8
hrere,	hrēran	pres.1sg	stir	8
bearwas	bearwe	ap	groves	9
bledhwate,	blēdhwæt	apm	bold	9
beamas	bēam	ap	trees	9
fylle,	fyllan	pres.1sg	fell	9
holme	holm	ds	sea	10
gehrefed,	gehrefan	pp	stirred	10
heahum	hēah	dp	high	10
meahtum	meaht	dp	powers	10
wrecen	wrecan	pp	driven	11
on	on	prep	on	11
waþe,	wāþ	as	journey	11
wide	wīde	adv	widely	11
sended;	sendan	pp	sent	11
hæbbe	habban	pres.1sg	have	12
me	ic	ds.pers	me	12
on	on	prep	on	12
hrycge	hrycg	ds	back	12
þæt	þæt	as.rel	that which	12
ær	ǣr	adv	before	12
hadas	had	ap	forms	12
wreah	wrēon	pret.3sg	covered	12
foldbuendra,	foldbuend	gp	earth-dwellers	13
flæsc	flǣsc	as	flesh	13
ond	ond	conj	and	13
gæstas,	gāst	ap	spirits	13
somod	somod	adv	together	14
on	on	prep	on	14
sunde.	sund	ds	sea	14
Saga	secgan	imp.2sg	say	14
hwa	hwā	pron.interr	who	14
mec	ic	as.pers	me	14
þecce,	þeccan	pres.subj.3sg	covers	14
oþþe	oþþe	conj	or	15
hu	hū	adv.interr	how	15
ic	ic	ns.pers	I	15
hatte,	hātan	pres.1sg.pass	am called	15
þe	þū	ns.rel	who	15
þa	sē	ap.dem	the	15
hlæst	hlæst	ap	burdens	15
bere.	beran	pres.1sg	bear	15
